ResponseId,StartDate,EndDate,Progress,Durationinseconds,Finished,Captcha,SharingType,SocialMedia,nicks,headlineA1,headlineS1,headlineC1,t_PageSubmit1,headlineA2,headlineS2,headlineC2,t_PageSubmit2,headlineA3,headlineS3,headlineC3,t_PageSubmit3,headlineA4,headlineS4,headlineC4,t_PageSubmit4,headlineA5,headlineS5,headlineC5,t_PageSubmit5,headlineA6,headlineS6,headlineC6,t_PageSubmit6,headlineA7,headlineS7,headlineC7,t_PageSubmit7,headlineA8,headlineS8,headlineC8,t_PageSubmit8,headlineA9,headlineS9,headlineC9,t_PageSubmit9,headlineA10,headlineS10,headlineC10,t_PageSubmit10,headlineA11,headlineS11,headlineC11,t_PageSubmit11,headlineA12,headlineS12,headlineC12,t_PageSubmit12,headlineA13,headlineS13,headlineC13,t_PageSubmit13,headlineA14,headlineS14,headlineC14,t_PageSubmit14,headlineA15,headlineS15,headlineC15,t_PageSubmit15,headlineA16,headlineS16,headlineC16,t_PageSubmit16,headlineA17,headlineS17,headlineC17,t_PageSubmit17,headlineA18,headlineS18,headlineC18,t_PageSubmit18,headlineA19,headlineS19,headlineC19,t_PageSubmit19,headlineA20,headlineS20,headlineC20,t_PageSubmit20,headlineA21,headlineS21,headlineC21,t_PageSubmit21,headlineA22,headlineS22,headlineC22,t_PageSubmit22,headlineA23,headlineS23,headlineC23,t_PageSubmit23,headlineA24,headlineS24,headlineC24,t_PageSubmit24,headlineA25,headlineS25,headlineC25,t_PageSubmit25,headlineA26,headlineS26,headlineC26,t_PageSubmit26,headlineA27,headlineS27,headlineC27,t_PageSubmit27,headlineA28,headlineS28,headlineC28,t_PageSubmit28,headlineA29,headlineS29,headlineC29,t_PageSubmit29,headlineA30,headlineS30,headlineC30,t_PageSubmit30,headlineA31,headlineS31,headlineC31,t_PageSubmit31,headlineA32,headlineS32,headlineC32,t_PageSubmit32,headlineA33,headlineS33,headlineC33,t_PageSubmit33,headlineA34,headlineS34,headlineC34,t_PageSubmit34,headlineA35,headlineS35,headlineC35,t_PageSubmit35,headlineA36,headlineS36,headlineC36,t_PageSubmit36,headlineA37,headlineS37,headlineC37,t_PageSubmit37,headlineA38,headlineS38,headlineC38,t_PageSubmit38,headlineA39,headlineS39,headlineC39,t_PageSubmit39,headlineA40,headlineS40,headlineC40,t_PageSubmit40,domains,screener_2,Party,DemRep_C,Social_Conserv,Economic_Conserv,ap_1,ap_2,screener_3,CRT_1,tCRT_PageSubmit_1,CRT_2,tCRT_PageSubmit_2,CRT_3,tCRT_PageSubmit_3,Age,Gender,Education,Income,Ethnicity,god,trust,risk,Random,Google,Lucid_age,Lucid_gender,Lucid_hhi,Lucid_ethnicity,Lucid_hispanic,Lucid_education,Lucid_political_party,Lucid_region,seq,us
"R_bawgAM1VqYhpwxH","2022-03-15 20:03:16","2022-03-15 20:09:29",100,373,1,"15","3","1,3,8",5,4,4,4,17.928,,,,,4,4,4,6.082,,,,,4,4,4,4.113,,,,,,,,,4,4,4,9.766,,,,,,,,,,,,,4,4,4,4.4,,,,,4,4,4,8.135,4,4,4,5.506,,,,,,,,,4,4,4,4.235,4,4,4,4.812,4,4,4,4.435,,,,,4,4,4,6.084,4,4,4,8.701,4,4,4,5.96,4,4,4,4.675,4,4,4,4.793,4,4,4,4.346,4,4,4,4.822,,,,,,,,,,,,,4,4,4,9.056,4,4,4,4.336,4,4,4,7.181,,,,,,,,,,,,,,,,,,,,,,,,,"7","3",2,6,3,3,100,0,"5",48,68.825,50,12.55,20,35.131,20,2,3,3,"1",8,1,5,2,2,20,2,4,1,1,6,2,3,2,
"R_1QJzDgJSeoPqFHn","2022-03-15 20:00:49","2022-03-15 20:09:58",100,548,1,"15","5","1,2,3,4,8",5,,,,,1,1,1,29.556,1,1,1,11.601,1,1,1,13.969,,,,,,,,,1,1,1,9.337,1,1,1,14.438,,,,,1,1,1,17.4,,,,,,,,,1,1,1,10.954,,,,,,,,,,,,,1,4,4,21.665,1,1,1,5.382,4,7,5,21.475,,,,,1,1,1,38.012,1,1,1,4.967,,,,,,,,,1,1,1,15.102,1,1,1,5.666,,,,,,,,,,,,,1,1,1,7.36,1,1,1,5.974,4,4,4,13.29,1,1,1,5.3,,,,,,,,,,,,,1,1,1,23.574,1,1,1,6.642,,,,,,,,,"18","3,5",1,3,3,3,0,100,"4,5",8,43.92,50,12.128,80,15.88,39,2,5,1,"2",5,4,5,1,2,38,2,1,2,1,8,1,3,2,
"R_1fZTck70jAtBusn","2022-03-15 19:57:15","2022-03-15 20:15:28",100,1093,1,"15","4,6","1",5,,,,,,,,,,,,,1,1,1,25.229,1,1,1,16.683,1,1,1,18.828,,,,,1,1,3,19.832,,,,,,,,,4,1,5,26.609,,,,,,,,,3,1,4,26.982,2,1,3,21.166,,,,,1,1,1,31.675,3,1,1,18.871,2,1,4,19.948,,,,,,,,,2,1,6,18.229,,,,,1,1,6,36.206,6,1,7,19.736,,,,,2,1,4,17.294,6,1,7,19.384,,,,,,,,,6,1,7,17.833,5,1,7,20.744,,,,,,,,,,,,,,,,,6,1,7,15.18,6,1,7,22.776,,,,,6,1,7,18.887,"5,6,7,9,10","3,6",1,1,1,1,11,74,"4,5",24,22.15,5,32.768,6,52.389,64,2,6,8,"1",6,6,7,2,2,64,2,,1,1,,,3,2,
"R_2OUOsDSCeSdBJh5","2022-03-15 20:05:55","2022-03-15 20:17:31",100,695,1,"15","1,2","1,2,4",5,,,,,4,4,4,37.312,1,1,1,19.828,5,5,5,23.788,,,,,,,,,,,,,4,4,4,32.299,,,,,,,,,6,6,6,12.054,,,,,1,1,1,16.215,1,1,1,19.967,4,4,4,24.294,,,,,1,1,1,24.857,3,3,3,21.781,,,,,,,,,4,4,4,12.843,,,,,7,7,7,17.563,,,,,7,7,7,14.872,4,4,4,12.949,,,,,,,,,,,,,7,7,7,14.9,4,4,3,16.593,,,,,,,,,,,,,6,6,6,18.009,1,1,1,11.774,,,,,,,,,1,1,1,23.252,5,5,5,20.225,"33","6",2,6,5,5,83,28,"5",8,23.132,59,13.272,20,13.78,58,2,2,6,"1",6,5,7,2,2,58,2,10,1,1,3,2,1,2,
"R_V4JdD7dDisreKB3","2022-03-15 20:23:40","2022-03-15 20:23:46",100,6,1,"22","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,23,2,5,1,1,,,2,2,
"R_3MnyF2GTNkh800U","2022-03-15 20:23:23","2022-03-15 20:23:57",100,34,1,"15","6","7",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,69,1,15,1,1,8,3,2,2,
"R_26lpUuG9G5Ktq2Z","2022-03-15 20:29:17","2022-03-15 20:29:38",100,20,1,"12","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,54,2,20,1,1,3,1,4,2,
"R_2B2kONmdrMJLhaF","2022-03-15 20:29:40","2022-03-15 20:29:54",100,13,1,"15","1","1",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,25,2,2,15,1,3,1,3,2,
"R_3hzQv3IWuqWS4FG","2022-03-15 20:29:58","2022-03-15 20:30:28",100,29,1,"15","5","1,4",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,64,2,12,1,1,7,2,1,2,
"R_3OfC1gudBg9kYk9","2022-03-15 20:25:12","2022-03-15 20:30:29",100,316,1,"15","4","8",5,2,1,1,4.597,,,,,7,7,7,5.067,7,6,6,6.09,1,1,1,5.671,,,,,,,,,,,,,1,1,1,7.626,,,,,7,7,7,6.349,,,,,,,,,,,,,1,2,1,6.45,,,,,4,4,2,6.344,,,,,7,7,7,6.87,4,3,1,5.349,7,7,5,5.585,,,,,1,1,1,6.638,,,,,,,,,7,7,7,5.157,5,5,5,4.627,,,,,,,,,,,,,,,,,1,3,3,13.476,7,7,7,4.747,7,7,7,5.537,,,,,1,1,1,9.237,7,7,6,5.143,,,,,7,7,7,5.685,,,,,"4","3",1,2,4,3,24,89,"4,5",8,10.065,50,10.128,20,17.914,33,2,2,5,"6",8,5,7,2,2,33,2,20,15,3,7,1,3,2,
"R_3jU8yuKGnm7AYaE","2022-03-15 20:25:44","2022-03-15 20:30:42",100,297,1,"15","1","8",5,,,,,,,,,,,,,,,,,5,3,5,3.815,6,6,5,7.942,,,,,6,5,5,4.171,6,7,5,12.628,6,5,7,4.089,,,,,2,5,4,6.237,6,3,4,7.108,5,4,6,4.424,,,,,,,,,,,,,7,4,5,4.759,,,,,4,6,4,4.575,,,,,2,6,4,3.7,,,,,,,,,,,,,,,,,5,3,4,7.369,3,6,4,4.112,6,4,6,3.986,3,5,4,4.603,,,,,,,,,5,3,5,3.878,3,5,6,5.321,,,,,,,,,3,6,3,9.554,,,,,4,6,3,4.179,6,3,5,3.636,"4,17,23,28,31,34,37","3,5",2,4,3,3,38,64,"3",35,52.351,5,26.017,3,7.13,23,2,2,1,"2",6,3,9,1,1,23,2,1,2,2,3,2,2,2,
"R_2WAzTgCbDDEmz47","2022-03-15 20:31:47","2022-03-15 20:32:00",100,12,1,"58","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,28,1,1,1,1,3,,1,2,
"R_pF25wgb8CvLOFwd","2022-03-15 20:31:58","2022-03-15 20:32:23",100,24,1,"15","3","1,3",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,32,2,27,1,1,4,,2,2,
"R_1jquBf1az3aHwEJ","2022-03-15 20:25:41","2022-03-15 20:32:27",100,406,1,"15","3,5","1,2,3,4,8",5,,,,,,,,,,,,,,,,,4,1,3,10.055,4,1,5,10.219,,,,,2,1,3,6.368,1,1,2,7.356,4,1,3,5.971,,,,,3,1,1,7.816,5,1,5,6.713,2,1,1,5.605,,,,,,,,,,,,,1,1,1,7.477,,,,,1,3,4,4.273,5,1,4,6.292,3,1,3,6.855,,,,,,,,,,,,,,,,,3,1,4,3.955,4,1,5,7.114,3,1,1,5.871,3,1,3,6.765,,,,,,,,,6,2,5,12.351,3,1,3,6.553,,,,,,,,,,,,,4,1,5,11.781,5,1,5,7.012,,,,,"2,7,8,19","6",1,3,3,2,39,70,"2",8,15.119,10,38.808,20,79.366,20,2,5,11,"1",2,7,7,2,2,20,2,22,1,1,8,1,3,2,
"R_2SqT80juNAegGXS","2022-03-15 20:32:12","2022-03-15 20:32:31",100,18,1,"15","3","1,3",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,22,2,27,1,1,3,3,1,2,
"R_Di1PCFJ5YNGEh5T","2022-03-15 20:32:16","2022-03-15 20:32:33",100,17,1,"15","2","8",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,40,2,27,1,1,2,4,4,2,
"R_2Cq3yTPsyKUylPM","2022-03-15 20:32:39","2022-03-15 20:33:00",100,21,1,"11","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,21,2,1,9,1,,4,3,2,
"R_25WUnU0RsbzxVjm","2022-03-15 20:32:36","2022-03-15 20:33:09",100,33,1,"15","1","4",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,19,1,3,15,1,4,3,3,2,
"R_1igpJ8fVh2RhFCE","2022-03-15 20:33:17","2022-03-15 20:33:52",100,34,1,"15","6","7",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,42,2,1,1,1,3,3,3,2,
"R_PBYpL0r4LvrdVqp","2022-03-15 20:33:13","2022-03-15 20:34:49",100,95,1,"15","4","7",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,28,1,1,15,2,4,4,4,2,
"R_3plQgYrRKOEpDbT","2022-03-15 20:34:55","2022-03-15 20:35:15",100,19,1,"15","6","7",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,29,2,1,2,1,6,1,1,2,
"R_WxJLmH9SAr17U0p","2022-03-15 20:26:04","2022-03-15 20:35:41",100,576,1,"15","2,3","1,8",5,3,1,1,12.592,1,1,1,16.201,5,6,5,14.654,1,5,5,14.245,,,,,,,,,4,6,4,18.193,,,,,,,,,,,,,1,1,1,9.772,,,,,,,,,,,,,5,1,1,14.541,1,1,1,11.59,1,1,1,11.82,,,,,7,4,5,51.07,,,,,6,4,4,19.063,,,,,3,1,1,13.578,7,7,5,21.208,3,1,1,21.781,4,3,1,14.301,,,,,,,,,,,,,,,,,7,1,5,11.933,6,4,6,17.149,,,,,,,,,7,6,5,12.994,4,5,5,18.505,3,1,1,19.597,,,,,,,,,,,,,"4,6,8,9,17","4",3,4,3,3,53,34,"4,5",8,8.396,50,9.782,20,13.259,30,2,3,5,"1",8,4,9,2,2,30,2,10,1,1,4,,2,2,
"R_AtiaCCDjJPBFBmx","2022-03-15 20:31:03","2022-03-15 20:35:51",100,287,1,"15","3,4","1,5",5,,,,,,,,,,,,,,,,,7,7,7,7.356,,,,,,,,,2,3,2,5.819,2,3,2,5.734,,,,,2,2,1,9.827,7,6,6,8.593,2,3,2,5.972,2,4,3,8.569,,,,,1,1,1,6.83,,,,,2,2,2,8.213,,,,,3,2,2,9.844,4,3,2,7.71,,,,,1,1,1,5.206,,,,,4,3,4,9.494,,,,,2,2,3,15.128,,,,,,,,,,,,,,,,,5,3,4,11.152,,,,,4,3,4,9.015,2,2,2,4.742,1,2,1,5.176,,,,,3,3,2,5.507,5,3,3,9.847,,,,,"4","3,5",2,6,5,5,100,11,"4,5",8,3.178,50,5.68,20,9.129,37,2,3,4,"1",8,5,8,2,2,37,2,8,1,1,6,2,1,2,
"R_s6uBsWFD2gnzzzj","2022-03-15 20:34:57","2022-03-15 20:36:05",100,68,1,"15","6","7",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,63,2,10,1,1,5,1,2,2,
"R_1rx0TNYcR3Ne9To","2022-03-15 20:36:50","2022-03-15 20:37:24",100,33,1,"15","6","7",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,64,2,20,1,1,6,4,3,2,
