ResponseId,StartDate,EndDate,Progress,Durationinseconds,Finished,Captcha,SharingType,SocialMedia,nicks,headlineS1,headlineC1,t_PageSubmit1,headlineS2,headlineC2,t_PageSubmit2,headlineS3,headlineC3,t_PageSubmit3,headlineS4,headlineC4,t_PageSubmit4,headlineS5,headlineC5,t_PageSubmit5,headlineS6,headlineC6,t_PageSubmit6,headlineS7,headlineC7,t_PageSubmit7,headlineS8,headlineC8,t_PageSubmit8,headlineS9,headlineC9,t_PageSubmit9,headlineS10,headlineC10,t_PageSubmit10,headlineS11,headlineC11,t_PageSubmit11,headlineS12,headlineC12,t_PageSubmit12,headlineS13,headlineC13,t_PageSubmit13,headlineS14,headlineC14,t_PageSubmit14,headlineS15,headlineC15,t_PageSubmit15,headlineS16,headlineC16,t_PageSubmit16,headlineS17,headlineC17,t_PageSubmit17,headlineS18,headlineC18,t_PageSubmit18,headlineS19,headlineC19,t_PageSubmit19,headlineS20,headlineC20,t_PageSubmit20,headlineS21,headlineC21,t_PageSubmit21,headlineS22,headlineC22,t_PageSubmit22,headlineS23,headlineC23,t_PageSubmit23,headlineS24,headlineC24,t_PageSubmit24,headlineS25,headlineC25,t_PageSubmit25,headlineS26,headlineC26,t_PageSubmit26,headlineS27,headlineC27,t_PageSubmit27,headlineS28,headlineC28,t_PageSubmit28,headlineS29,headlineC29,t_PageSubmit29,headlineS30,headlineC30,t_PageSubmit30,headlineS31,headlineC31,t_PageSubmit31,headlineS32,headlineC32,t_PageSubmit32,headlineS33,headlineC33,t_PageSubmit33,headlineS34,headlineC34,t_PageSubmit34,headlineS35,headlineC35,t_PageSubmit35,headlineS36,headlineC36,t_PageSubmit36,headlineS37,headlineC37,t_PageSubmit37,headlineS38,headlineC38,t_PageSubmit38,headlineS39,headlineC39,t_PageSubmit39,headlineS40,headlineC40,t_PageSubmit40,domains,screener_2,Party,DemRep_C,Social_Conserv,Economic_Conserv,ap_1,ap_2,screener_3,CRT_1,tCRT_PageSubmit_1,CRT_2,tCRT_PageSubmit_2,CRT_3,tCRT_PageSubmit_3,Age,Gender,Education,Income,Ethnicity,god,trust,risk,Random,Google,Lucid_age,Lucid_gender,Lucid_hhi,Lucid_ethnicity,Lucid_hispanic,Lucid_education,Lucid_political_party,Lucid_region
"R_2WASTWF5P42xrZ0","2022-04-27 19:05:11","2022-04-27 19:05:21",100,10,1,"15","2","2,5",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,23,2,4,1,1,10,1,4
"R_3JgiVn6M4PF5HjD","2022-04-27 19:04:46","2022-04-27 19:05:39",100,53,1,"15","1","1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,22,1,1,2,1,4,1,3
"R_2UVPdwRPsQMK21Y","2022-04-27 19:05:14","2022-04-27 19:06:13",100,59,1,"15","6","7",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,52,2,3,1,1,3,3,3
"R_238nGw54zLabKio","2022-04-27 19:05:23","2022-04-27 19:06:27",100,63,1,"15","2","1,3,4",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,36,1,3,2,1,4,1,1
"R_24bENAq2aif6SYK","2022-04-27 19:06:24","2022-04-27 19:06:37",100,13,1,"15","5","5",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,25,1,7,2,1,6,1,3
"R_1pVXKzJMfXKrm1J","2022-04-27 19:05:46","2022-04-27 19:06:48",100,62,1,"15","1,2","1,4",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,30,2,2,2,16,4,2,1
"R_pFTvsBnUGmmuatz","2022-04-27 19:06:35","2022-04-27 19:07:24",100,49,1,"15","3","1",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,21,2,1,2,1,4,1,2
"R_33rnCshBOjGKrUc","2022-04-27 19:07:11","2022-04-27 19:07:38",100,27,1,"15","1","1",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,20,2,1,1,1,4,3,3
"R_3PHJgTp7Dpk4VBG","2022-04-27 19:06:56","2022-04-27 19:07:39",100,43,1,"15","2","7",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,63,2,7,2,1,6,1,1
"R_0pRlrIAZJn3PLCp","2022-04-27 19:07:18","2022-04-27 19:07:59",100,41,1,"15","3","7",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,59,2,6,1,1,4,2,2
"R_sFDlIObQroVIbi9","2022-04-27 19:03:10","2022-04-27 19:08:05",100,295,1,"15","3","1,4",5,5,5,2.114,,,,5,5,4.2,5,4,6.194,,,,,,,5,5,3.842,,,,5,4,10.896,5,4,5.116,4,4,2.5,,,,5,3,12.527,,,,,,,,,,,,,,,,3,5,1.633,5,2,3.093,,,,6,3,3.701,,,,,,,,,,,,,,,,3,5,1.525,,,,4,4,5.782,5,3,5.424,5,4,3.89,,,,,,,4,4,3.259,3,2,7.625,,,,6,5,12.291,4,4,7.677,5,5,8.212,"1,57","6",1,2,3,3,60,66,"3,5",8,11.72,10,11.699,0,4.436,26,2,2,9,"1",6,4,6,1,1,25,2,1,1,1,4,3,4
"R_u80elGW5NaKKwFz","2022-04-27 19:06:35","2022-04-27 19:08:10",100,95,1,"15","6","7",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,52,2,27,2,15,4,4,3
"R_1GHR8J5L0s3ZvTd","2022-04-27 19:07:37","2022-04-27 19:08:16",100,38,1,"15","1,2,3,4,5","1,3,4,8",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,32,2,23,2,1,11,1,4
"R_Om2mYDqIzSfBU3v","2022-04-27 19:03:13","2022-04-27 19:08:22",100,308,1,"15","1","1",5,6,6,4.23,6,5,5.202,6,6,4.466,,,,6,6,4.317,,,,5,6,5.122,,,,,,,6,6,4.683,,,,,,,,,,6,6,5.15,,,,6,6,4.271,,,,6,6,4.789,6,6,4.729,,,,,,,6,6,4.383,,,,,,,,,,,,,,,,6,6,3.246,,,,6,6,9.786,6,6,4.64,6,6,5.13,,,,,,,6,6,4.234,6,6,2.438,,,,6,6,4.4,6,6,4.848,6,6,5.944,"18","1",1,1,5,5,77,68,"4,5",8,26.374,2500,28.101,20,18.801,51,2,2,5,"1",8,7,7,2,1,51,2,6,1,1,4,1,1
"R_217H3AeREUStDJc","2022-04-27 19:07:06","2022-04-27 19:08:28",100,82,1,"15","6","1,2,3,4,5,8",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,22,2,2,2,1,4,3,3
"R_2rBE6IvSuNsXYqH","2022-04-27 19:06:13","2022-04-27 19:08:30",100,136,1,"None","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,37,2,1,2,2,2,1,1
"R_2coPXnjCvzQIL65","2022-04-27 19:05:57","2022-04-27 19:09:08",100,190,1,"15","1,5","1,2,3,4,5,8",5,,,,,,,4,5,2.865,,,,,,,,,,,,,3,4,2.268,5,5,2.842,,,,5,5,1.878,5,4,2.869,,,,,,,,,,4,4,2.061,3,3,4.032,4,4,2.687,5,5,2.681,4,4,3.526,3,3,2.812,,,,,,,,,,4,4,2.038,6,5,2.319,,,,4,4,2.478,3,3,4.608,5,5,2.384,,,,,,,,,,,,,,,,3,4,2.364,3,3,2.199,,,,4,4,1.73,3,3,2.42,"1,22","3,5",1,2,2,2,28,79,"4,5",28,12.635,50,9.268,40,10.612,28,2,6,6,"1",5,5,6,2,2,28,1,11,1,1,7,2,1
"R_2v2ez8KUwCVBFN9","2022-04-27 19:05:18","2022-04-27 19:09:41",100,262,1,"15","3","4,8",5,2,3,4.007,2,1,3.024,1,1,5.784,2,2,2.588,,,,2,2,3.097,,,,2,4,4.357,,,,,,,,,,,,,1,1,2.41,,,,,,,,,,2,1,2.813,2,2,11.749,1,1,2.354,,,,1,2,3.649,,,,1,2,4.013,1,2,8.596,,,,3,3,3.433,1,2,9.753,2,2,2.156,2,2,11.071,,,,,,,,,,,,,,,,2,3,4.423,1,1,2.643,,,,,,,,,,1,1,4.179,"34","3,5",1,2,3,3,41,73,"3",16,19.482,50,22.023,7,4.731,18,2,3,1,"1",2,3,3,1,2,18,2,3,15,2,4,1,1
"R_3dWwBWBNT1rBuJk","2022-04-27 19:03:18","2022-04-27 19:10:16",100,418,1,"15","3","1,2,3,4,8",5,,,,,,,,,,1,1,11.542,,,,1,1,5.486,,,,1,1,20.23,1,1,8.04,,,,1,1,7.058,1,1,4.286,5,5,7.855,,,,1,1,10.04,,,,1,1,11.68,,,,,,,1,1,4.28,5,5,8.785,,,,1,1,9.909,1,1,8.815,1,1,6.676,1,1,4.726,1,1,10.933,,,,1,1,7.602,,,,,,,,,,1,1,7.062,1,1,8.587,,,,,,,1,1,4.374,,,,,,,,,,"3,4,17","4",3,3,3,3,35,65,"4,5",8,14.53,50,31.401,20,19.443,40,2,2,1,"1",6,5,4,2,2,21,2,11,1,1,4,2,2
"R_Unf20bLDJJlSBOh","2022-04-27 19:05:26","2022-04-27 19:11:34",100,367,1,"15","3,4","1,2,4,8",5,2,1,6.843,,,,4,3,3.915,2,2,4.494,,,,3,4,3.33,,,,2,3,5.407,,,,,,,2,4,5.452,,,,3,5,6.028,2,3,4.627,,,,,,,3,4,4.181,,,,3,4,7.222,,,,,,,2,4,3.971,,,,,,,3,2,10.202,3,4,5.735,,,,3,3,5.488,,,,,,,2,4,3.414,,,,3,3,4.455,2,4,4.697,,,,,,,2,4,3.113,,,,4,5,47.593,3,2,4.417,"2,8,44,46","4",1,3,2,2,31,80,"4,5",48,12.072,100,7.482,20,11.736,31,2,2,1,"1",8,5,8,2,2,31,2,1,1,1,4,3,2
"R_XGiQmRkmrZQUuGZ","2022-04-27 19:04:48","2022-04-27 19:12:06",100,438,1,"15","5","3,4,8",5,,,,3,4,12.543,3,5,3.014,,,,,,,,,,,,,,,,,,,3,2,4.7,,,,,,,4,3,4.123,4,4,9.413,6,5,2.945,5,5,4.072,,,,1,2,11.278,1,1,4.131,5,6,4.666,,,,5,6,4.289,6,5,4.304,5,5,4.262,,,,,,,,,,,,,,,,,,,4,5,4.913,4,3,4.647,3,3,4.379,,,,7,5,9.613,,,,5,5,5.914,3,3,5.596,6,5,7.161,,,,"31","3,5",3,2,3,3,17,67,"4,5",8,17.313,50,12.941,20,20.041,19,2,,1,"6",6,5,7,2,2,21,2,5,15,14,6,3,1
"R_1obETeX5rK2X0x2","2022-04-27 19:06:41","2022-04-27 19:13:27",100,405,1,"15","1,3,4","1,2,3,4,5,8",5,1,1,9.284,7,7,7.77,,,,1,2,9.972,1,3,8.639,,,,1,1,9.281,1,4,10.5,,,,,,,7,7,9.537,,,,,,,,,,,,,1,1,6.931,1,7,16.756,1,3,10.566,,,,,,,7,7,6.889,7,7,8.128,7,7,7.42,7,7,12.318,,,,,,,,,,,,,7,6,7.845,,,,,,,7,7,6.672,7,7,10.066,,,,,,,4,3,12.649,,,,,,,7,7,9.49,7,6,9.99,"1,2,3,8,46","2",1,1,1,1,3,100,"4,5",48,22.917,500,12.444,20,14.371,49,2,2,2,"2",8,4,11,2,2,49,2,1,2,1,4,1,1
"R_3MoEdRLeiZehvlv","2022-04-27 19:07:33","2022-04-27 19:13:43",100,369,1,"15","2,4","1,3",5,,,,1,4,9.547,1,4,16.606,,,,,,,1,5,9.227,,,,,,,1,2,8.506,2,4,14.057,,,,4,4,7.842,,,,3,4,8.512,1,3,7.777,,,,,,,1,4,7.356,,,,1,4,7.239,,,,,,,1,4,8.154,,,,4,5,7.246,1,3,6.251,4,5,6.97,4,5,9.681,4,5,10.072,,,,,,,,,,,,,,,,3,5,6.301,1,4,7.641,,,,1,4,4.791,1,4,5.989,,,,"3,4","3,5",2,6,5,5,85,32,"4,5",8,7.567,50,20.416,20,21.823,42,1,3,11,"1",3,5,9,2,2,42,1,22,1,1,6,2,1
"R_2wBjWU3mUBsOkQL","2022-04-27 19:06:09","2022-04-27 19:14:18",100,488,1,"15","2","1,2,4",5,5,7,8.936,3,7,4.677,,,,7,5,11.041,3,6,6.517,7,7,6.58,1,1,11.792,,,,,,,5,7,15.766,,,,,,,1,7,25.653,7,7,3.65,7,7,11.521,,,,,,,,,,,,,,,,,,,2,7,6.49,3,4,7.22,7,7,7.083,,,,,,,5,6,6.921,,,,,,,,,,1,1,22.855,1,5,7.778,2,5,4.5,6,7,9.115,1,1,12.75,,,,,,,5,7,6.501,,,,,,,"2,3,4,8","3,5",2,6,3,2,79,56,"4,5",8,18.482,50,34.055,20,16.549,36,1,8,9,"1",8,7,9,2,2,25,1,6,2,1,3,3,2
"R_1j8qrZ6Jwij9wR8","2022-04-27 19:07:19","2022-04-27 19:14:19",100,420,1,"15","1,2,4,5","1,2,3,4,8",5,7,7,7.913,6,5,6.695,,,,5,5,5.878,3,3,7.296,,,,7,7,4.792,,,,,,,,,,4,2,8.528,,,,,,,,,,,,,7,7,14.341,4,5,9.613,4,3,6.118,7,7,10.811,,,,7,7,4.501,,,,7,6,9.963,3,6,7.497,,,,5,4,5.111,,,,,,,,,,,,,7,7,10.487,7,7,6.349,7,5,8.597,,,,,,,4,6,15.086,,,,,,,3,2,5.32,7,6,5.246,"3,4,6,9","3,5",1,2,3,3,6,96,"2",8,31.76,50,9.808,20,16.909,37,1,2,2,"2",8,1,6,2,2,36,1,5,2,1,4,1,3
"R_5z6307ck2no8ycN","2022-04-27 19:06:41","2022-04-27 19:15:10",100,508,1,"15","3","1,3,4,8",5,1,1,6.965,1,1,7.195,,,,1,1,4.251,1,1,8.082,,,,1,1,10.211,,,,,,,,,,7,7,10.428,,,,,,,1,1,9.462,7,7,11.234,7,7,8.157,,,,,,,7,7,21.348,,,,1,1,5.469,,,,7,7,6.92,7,7,8.192,,,,1,1,9.27,,,,7,7,7.7,,,,,,,1,1,7.661,1,1,9.578,,,,,,,1,7,14.715,,,,,,,,,,1,1,7.244,7,7,8.022,"8","3,5",1,1,5,5,0,100,"4,5",8,48.117,50,31.284,20,16.975,52,2,8,4,"1",6,5,9,2,2,52,2,8,1,1,5,1,3
"R_sdLPwO0P736M9aN","2022-04-27 19:06:22","2022-04-27 19:15:30",100,548,1,"15","1","1,3,4,8",5,,,,,,,,,,4,7,8.328,,,,,,,7,7,10.882,,,,7,7,27.377,,,,,,,7,7,18.24,1,7,7.91,4,7,12.331,6,6,12.17,,,,4,5,33.317,3,7,13.582,,,,4,7,12.66,5,7,8.966,,,,,,,7,7,7.176,,,,,,,,,,,,,7,7,9.745,2,7,13.261,,,,,,,1,5,15.705,1,7,9.077,7,7,37.946,3,6,14.514,,,,,,,3,7,11.808,1,3,16.256,"4,6,8,9,38,48","3,5",2,6,5,5,100,0,"4,5",8,11.455,50,11.475,20,23.007,29,2,2,2,"1",8,2,6,2,2,29,2,6,1,1,4,3,3
"R_u4hXuXjcA7GgEHT","2022-04-27 19:06:11","2022-04-27 19:15:31",100,559,1,"15","6","1,3,8",5,1,1,13.034,1,5,10.626,4,4,17.608,,,,1,1,13.421,,,,,,,3,5,20.143,,,,7,7,9.599,,,,,,,1,1,13.015,,,,,,,1,1,14.205,,,,1,1,13.032,,,,1,1,10.563,,,,,,,7,1,13.604,,,,7,4,17.171,1,1,8.572,7,1,12,7,4,10.553,7,7,7.892,,,,1,1,10.436,7,7,8.309,,,,,,,,,,,,,1,1,14.001,1,1,24.22,,,,,,,"2,4","3",2,6,4,4,100,0,"4,5",8,8.018,2,63.797,20,11.782,61,2,3,2,"1",8,1,7,2,2,61,2,5,1,1,6,2,3
"R_3dJPpFnMDEvomCq","2022-04-27 19:03:20","2022-04-27 19:16:42",100,801,1,"15","1,2,4,5","1,2,3,4,5,8",5,,,,,,,,,,5,6,2.172,,,,6,6,2.307,,,,5,6,10.082,6,6,2.391,,,,5,6,2.566,5,6,2.804,7,5,1.499,,,,6,6,2.018,,,,5,6,2.18,,,,,,,5,6,2.523,6,5,2.085,,,,5,6,2.117,4,6,2.846,6,6,2.636,6,5,2.212,5,6,2.302,,,,6,5,2.292,,,,,,,,,,6,6,2.004,4,5,2.507,,,,,,,6,7,2.507,,,,,,,,,,"2,4,9,16,34,39,45,46,59","3,5",2,4,3,3,74,40,"4,5",8,2.777,50,2.356,20,4.215,21,2,2,5,"1",7,6,9,2,2,22,2,10,1,2,6,1,1
"R_3g58s60yiGhMute","2022-04-27 19:06:32","2022-04-27 19:17:50",100,677,1,"15","1,4,5","2,4",5,,,,,,,,,,,,,,,,7,7,8.396,,,,7,7,14.588,1,1,11.821,7,7,15.201,7,7,6.735,1,1,8.462,1,1,7.724,,,,,,,1,1,5.981,1,1,9.856,,,,,,,1,1,51.563,,,,,,,,,,,,,7,7,8.521,,,,7,7,8.493,7,7,4.798,7,7,11.824,,,,,,,,,,7,7,7.422,7,7,8.073,,,,1,1,13.196,1,1,8.577,7,7,9.663,7,7,28.387,,,,"3,9,44,57","3,5",1,2,3,3,35,99,"3",48,24.086,50,42.796,80,20.478,19,2,2,1,"1",8,7,11,2,2,19,2,1,1,2,4,1,3
"R_w6RIDbJTLOYkuEV","2022-04-27 19:07:41","2022-04-27 19:19:36",100,715,1,"15","2,3,4,5","1,2,3,4,8",5,1,1,24.948,,,,1,1,9.126,4,1,11.994,,,,,,,2,2,9.287,4,4,14.372,,,,1,1,8.079,,,,3,2,10.777,5,5,14.357,,,,,,,,,,2,2,6.92,,,,,,,1,1,30.101,,,,1,1,25.863,,,,1,1,5.47,1,1,4.961,,,,,,,1,1,4.02,1,1,10.4,1,1,8.207,,,,,,,,,,1,1,4.138,3,4,13.09,,,,1,1,8.604,1,1,4.225,,,,,,,"1,2,5,7,13,15,19,34,46","3,5",3,3,3,3,3,2,"4,5",4,121.049,50,33.513,20,22.804,35,2,5,9,"1",6,2,7,1,2,35,2,16,1,1,8,3,2
